Name,Country,Email
BODEGAS SAN ALEJANDRO,Spain,contacto@san-alejandro.com
VINOS REMIGIO ENRÍQUEZ,Spain,info@vinosremigioenriquez.com
Azienda Agricola Lapis Lorenzo,Italy,"info@agricolapoggiosanpolo.it, lorenzo.lapis@pec.it, lorenzolapis@gmail.com"
TRAPANI SHUTTLE,Italy,info@trapanishuttle.com
SA SCDC,France,industrie@scdc.fr
"FERNANDO RODRIGUES CARVALHO, UNIPESSOAL, LDA",Portugal,"geral@vinhosdoiscarvalhos.com, montiweinsr@gmail.com"
LE VIN ÉMOI,France,bertrand.aguesse@levinemoi.fr
GASLOGIC,Spain,info@gaslogic.es
LA BUENA VIDA,Belgium,info@labuenavida.be
PROYING INGENIERIA,Spain,"proying@proying-ingenieria.com, tecnicos@proying-ingenieria.com"
UVAGGIO ENOTECA ONLINE,Italy,info@uvaggio.it
"VINIVERDE - PROMOÇÃO E COMÉRCIO DE VINHOS VERDES, S.A",Portugal,geral@barcoswines.com
LES DOMAINES ROBERT VIC,France,contact@preignes.com
MEDICI ERMETE & FIGLI SRL,Italy,privacy@medici.it
MAS LE MIMOSA,France,info@sud66.com
CAVAS VÍA DE LA PLATA,Spain,abuse@company.site
AZIENDA VINICOLA CANTELE S.R.L.,Italy,cantele@cantele.it
CAD EDIFICIOS INDUSTRIALES S.L.,Spain,cad@cadedificiosindustriales.com
FUNDACAO ABREU CALLADO,Portugal,"geral@abreucallado.pt, fundacao@abreucallado.pt"
M. CUNHA & COMPANHIA S.A,Portugal,geral@mcunha.net
RENOIR SRL ACCESSORI VINO,Italy,info@renoirsrl.com
VINS ET PASSIONS,France,vp@vins-passions.com
"INDUSTRIAS SERILUZ, S.L.",Spain,info@regalospublicitariosya.com
LA PIEMONTINA S.S.A.,Italy,"info@bestwinestars.com, info@lapiemontina.com, stefano@lapiemontina.com, organizzazione@lucamaroni.com"
TENUTA IL CANOVINO,Italy,"export@ilcanovino.it, commerciale@ilcanovino.it, tenutailcanovino@ilcanovino.it"
AZIENDA VITIVINICOLA FONTECHIARA,Italy,"info@cantinafontechiara.com, fontechiara.vini@libero.it"
BODEGAS SEÑORIO DE VALDESNEROS SL,Spain,info@bodegasvaldesneros.com
TRSNICA VRHPOLJE,Slovenia,info@elderlifefinancial.com
BROADLAND WINERIES LTD,United Kingdom,"sales-support@broadlanddrinks.com, sales@broadlanddrinks.com"
"QUINTA DO CERRADO - UNIÃO COMERCIAL DA BEIRA, LDA.",Portugal,"qualidade@ucbwines.com, geral@ucbwines.com, comercial@ucbwines.com, contabilidade@ucbwines.com"
WINERY KARP SCHREIBER,Germany,info@karp-schreiber.de
AZ. AGRICOLA FENILAZZO S.S.,Italy,info@cortefenilazzo.it
TONELERIA DUERO SL,Spain,duero@toneleria.es
CONCEPT-S LADENBAU & OBJEKTDESIGN GMBH,Germany,info@concept-s-design.com
CORTIJO EL CURA ECO-BODEGA,Spain,info@cortijoelcura.com
AZIENDA VINICOLA GHIONE WINE,Italy,info@ghionewine.com
VIRGEN DE LAS VIÑAS BODEGA Y ALMAZARA,Spain,contacto@vinostomillar.com
"QUINTA DE CURVOS - SOCIEDADE AGRÍCOLA, SA",Portugal,"geral@quintadecurvos.pt, exemplo@dominio.com"
WEINBAU FAMILIE MÜHLGASSNER,Austria,weinbau.muehlgassner@bkf.at
"ADEGA COOPERATIVA DE ALMEIRIM, CRL.",Portugal,marketing@adegaalmeirim.pt
EDELSTAHL ROHRLEITUNGSBAU UG & CO.KG,Germany,tn@edelstahl-rohrleitungsbau.eu
BÜRGERSPITAL ZUM HL. GEIST - WEINGUT,Germany,weingut@buergerspital.de
POLYTEK,France,"commercial@polytek.fr, %20commercial@polytek.fr"
"ADEGA COOPERATIVA DE BORBA, C.R.L.",Portugal,geral@adegaborba.pt
BODEGAS CILLAR DE SILOS,Spain,bodega@cillardesilos.es
LUXIUM WINES S.L.,Spain,export@luxiumwines.com
A.M. GUALBA S.L.,Spain,amgualba@amgualba.com
INDUSTRIE FRACCHIOLLA S.P.A.,Italy,info@fracchiolla.it
MH WINES,Netherlands,info@mhwines.nl
BARLETTI TRASPORTI SAS VINO SFUSO E ACQUA POTABILE,Italy,"info@trasportibarletti.it, trasportibarletti@tin.it"
LUVIT & LUMOE',Italy,"info@luvit-lumoe.com, luvit-lumoe@pec.it"
Sélection Patrick Clerget,France,info@patrick-clerget.com
CASTELLARI BERGAGLIO,Italy,gavi@castellaribergaglio.it
EASY CYCLING SITGES,Spain,hola@easycyclingsitges.com
BODEGA OTAZU,Spain,info@otazu.com
VINAET,Germany,max.p@vinaet.de
WEINGUT LICHTSCHEIDL,Austria,kontakt@weingut-lichtscheidl.com
RENATE ENGEL,Germany,info@ingenhof.de
MARXAM PROJECT,Poland,offers@marxam-project.pl
INOXSA SRL,Italy,amministrazione@inoxsa.it
Azienda Agricola Sabaghina,Italy,info@sabaghina.com
WEINGUT FUCHS,Germany,info@weingut-fuchs.de
Clenath inox,France,contact@clenath-inox.fr
ANGELS LIMOUSINE - AUTONOLEGGIO CON CONDUCENTE,Italy,angelslimousine@gmail.com
NET MARKETING S.R.L.,Italy,info@netmarketing.it
WP WEINBAUMASCHINEN KELLEREIARTIKEL,Germany,kontakt@wp-kellereiartikel.de
WEINGUT KARL INH. ANSGAR GALLER,Germany,mail@weingut-galler.de
GRUPO CLM BAG,Spain,ventas@clmbag.com
RIDGEVIEW ESTATE WINERY LIMITED,United Kingdom,"info@ridgeview.co.uk, ourview@ridgeview.co.uk, hospitality@ridgeview.co.uk"
AZ.AGRICOLA VIGNE MATTE S.R.L.,Italy,info@vignematte.it
BROADLAND WINERIES LIMITED,United Kingdom,"sales-support@broadlanddrinks.com, sales@broadlanddrinks.com"
Caviaroli S.L.,Spain,info@caviaroli.com
ETSIOKA,Greece,info@etsioka.gr
LEOPOLD SIEGRIST GMBH,Germany,"info@siegrist.de, michael@siegrist.de, johannes@siegrist.de, tniebes@siegrist.de, ajarzombek@siegrist.de, jboehm@siegrist.de, alexandra@siegrist.de, rganz@siegrist.de, ygorovits@siegrist.de, ckandziora@siegrist.de, dklinger@siegrist.de, rechnung@siegrist.de, rpruscha@siegrist.de, lothar.eckrich@t-online.de, fmuenchgesang@siegrist.de"
ROTOGRAPH LLC,Hungary,sales@rotograph.hu
Domaine De Castelnau,France,1@orange.fr
AZIENDA VINICOLA UMANI RONCHI S.P.A.,Italy,wine@umanironchi.it
MOTORLAND LTD,Greece,info@motorland.gr
"SOCIEDADE QUINTA DO PORTAL, S.A",Portugal,reservas@quintadoportal.pt
"VALVERDE IBARRA, S.L.",Spain,valverdeibarra@valverdeibarra.com
Mipolán Kft,Hungary,info@mipolan.hu
COCCITECH SRL,Italy,info@coccitech.com
PEPINIERES GUILLAUME,France,info@guillaume.fr
IL QUARTO MIGLIO SRL,Italy,info@ilquartomiglio.it
KHW MASCHINENBAU GMBH,Germany,info@khw-gmbh.com
ACRI WINE SERVICE,Italy,francesco@acriwineservice.com
ENRIC REGULL,Spain,regull@enricregull.com
LA CAVE ÉCLAIRÉE,France,maxime@lacave-eclairee.fr
LA TINTORERÍA VINOTECA,Spain,latintoreria@latintoreriavinoteca.com
AYIA MAVRI WINERY LTD,Cyprus,"info@ayiamavriwines.com, ayiamavri@cytanet.com.cy"
CARL JACOBS GMBH,Germany,"geiger@jacobs1865.de, hein@jacobs1865.de, einkauf@jacobs1865.de"
WEINGUT DEXHEIMER,Germany,"info@2xdexheimer.de, hallo@2xdexheimer.de"
SORDATO S.R.L.,Italy,"info@sordato.it, service@sordato.it, amministrazione@sordato.it, direzione.commerciale@sordato.it"
PODERI MORETTI DI MORETTI FRANCESCO,Italy,morettivini@libero.it
Bodegas Osca,Spain,bodega@bodegasosca.com
WEINGUT PITZNER,Italy,info@pitzner.it
CARNICAS DIBE SL,Spain,carnicasdibe@carnicasdibe.com
DE PALLET,Belgium,info@depallet.be
HÄNNSL AM ORT - WEINGUT,Italy,haennsl-am-ort@konmail.net
MAURO VINI SRL,Italy,info@maurovini.com
GLOBAL MARKETING DIRECTO,Spain,info@globalmarketingdirecto.com
TSIAKKAS WINERY,Cyprus,"contact@tsiakkaswinery.com, visit@tsiakkaswinery.com"
GV SOLUCIONES,Spain,info@gvsoluciones.com
AZIENDA AGRICOLA CASERE,Italy,info@aziendacasere.com
ALFONSO CATERING,Spain,"comercial@alfonsocatering.es, antonio.leal@alfonsocatering.es.horarios, antonio.leal@alfonsocatering.es"
"DELCABO SELECTION, SL",Spain,info@delcabo.es
FERD. BARDENHEWER GMBH & CO. KG,Germany,info@bardenhewer.de
BODEGA Y VIÑEDOS MILENICO SL,Spain,milenico@milenico.com
"QUINTA DO PESSEGUEIRO - SOCIEDADE AGRÍCOLA E COMERCIAL, LDA",Portugal,quintadopessegueiro@zannier.com
FIDEAOIL SRL,Italy,fideaoilsrl@gmail.com
EDWARDS CONCIERGERIE,France,contact@edwardsconciergerie.com
Barnacork,Spain,info@barnacork.com
AG VINS,France,"contactpro@agvins.fr.contactez, contactpro@agvins.fr"
VALENCIA WINE CONSULTING & TOURS,Spain,johan@valenciawineconsulting.com
BODEGAS TOMADA DE CASTRO,Spain,info@tomadadecastro.com
MARSILINOX INDUSTRIA METALURGICA LDA.,Portugal,marsilinox@marsilinox.pt
FLEUR DE BRUYERE,Belgium,info@fleurdebruyere.be
OF PROJECTS DI FILIPPO ONGARO & C. S.A.S.,Italy,"hello@ofprojects.com, hello@ofprojects-com.preview-domain.com"
CANTINA SOCIALE COOPERATIVA DI LEVERANO,Italy,info@cantinavecchiatorre.it
MORISCO WEINIMPORT,Germany,info@morisco-wein.com
QUINTA NOVA DE NOSSA SENHORA DO CARMO,Portugal,"info@amorimfamilyestates.com, marketing@amorimfamilyestates.com, quintanova@amorimfamilyestates.com, quintanovawineryhouse@amorimfamilyestates.com, quintanovawinetourism@amorimfamilyestates.com"
EUROCORK,Belgium,sales@eurocapeurocork.com
HEREDAD DE ADUNA,Spain,bodegas@heredadaduna.com
TERRE DI GIURFO,Italy,info@terredigiurfo.it
UNION OF WINEMAKING COOPERATIVES OF SAMOS,Greece,"info@samoswine.gr, frantzis@samoswine.gr, ftenogiannis@samoswine.gr, marketing.samoswine@gmail.com"
HUCATRANS - HUMANEZ Y CALACO S.L.,Spain,"administracion@transporteshucatrans.com, logistica@transporteshucatrans.com, facturacion@transporteshucatrans.com"
BODEGAS MURILLO VITERI,Spain,imurillo@bodegasmurilloviteri.com
MIROS GROUP,Italy,info@mirosgroup.it
TELEVINO GMBH,Germany,info@televino.de
CANTINE IANNELLA S.N.C. DI IANNELLA MARIANTONIETTA,Italy,info@cantineiannella.it
LINOS WINERY,Cyprus,linoswinery@cytanet.com.cy
BED AND BREAKFAST EL PAVEJO,Italy,info@agriturismoelpavejo.it
GARBELLOTTO SPA,Italy,info@garbellotto.it
CARNEIRO FAMILY WINES,Portugal,info@carneirowines.pt
"ADEGA COOPERATIVA DE FAVAIOS, C.R.L.",Portugal,dpo@adegadefavaios.com
C.O.A. DI ELIO RAPINO,Italy,info@gascompressicoa.it
LA CERRETA VINI BIODINAMICI,Italy,info@lacerreta.it
"ADEGA COOPERATIVA DE CANTANHEDE, CRL",Portugal,geral@cantanhede.com
WEINGUT ANDREAS MÄNNLE INH. ALFRED MÄNNLE,Germany,"info@schwarzwaldweingut.de, info@schwarzwaldweinhaus.de"
"G&P CREAR LABELS, S.L.",Spain,info@gpcrear.com
MARQUÉS DE CÁCERES,Spain,"export@marquesdecaceres.com, comunicacion@marquesdecaceres.com"
PAŁAC MIERZĘCIN,Poland,recepcja@palacmierzecin.pl
TSANGARIDES WINERY,Cyprus,info@tsangarideswinery.com
D.A.R. Metall AG,Germany,"info@darmetall.eu, info@darmetall.de, hristian.artner@darmetall.eu, nfo@darmetall.eu, dennis.fischer@darmetall.eu, marcel.maedel@darmetall.eu, christian.giustardi@darmetall.eu, roman.schindler@darmetall.eu, frank.neblung@darmetall.eu, maxim.semenyak@darmetall.eu, christian.giustrdi@darmetall.eu, maxim.leimann@darmetall.eu, katharina.wickenhagen@darmetall.eu"
"ADEGA MÃE - SOCIEDADE AGRICOLA, LDA",Portugal,"enoturismo@adegamae.pt, geral@adegamae.pt"
LEVINI HANDELSGESELLSCHAFT MBH,Germany,"info@levini.de, kontakt@levini.it"
KANTINA MIQESIA,Albania,info@medaur.com
WEINGUT JOHANNES HAAS,Germany,info@weingut-haas.de
CONSORZIO DEL VINO BRUNELLO DI MONTALCINO,Italy,"info@consorziobrunellodimontalcino.it, consorziobrunellodimontalcino@legalmail.it"
TECI & COM,France,commercial@tecietcom.fr
FEUDO GAGLIARDI CANTINE,Italy,info@feudogagliardi.it
ANCHURÓN,Spain,info@anchuron.es
CANTINE OLEIFICIO D'URSO S.R.L.,Italy,"cantinedurso@pec.it, cantine.durso@libero.it"
CHILTERN VALLEY WINERY & BREWERY,United Kingdom,enquiries@chilternvalley.co.uk
AGENZIA IMMOBILIARE FIRENZE SAN NICCOLÒ REAL ESTATE,Italy,"info@sanniccolorealestate.com, sanniccolorealestate@pec.playnet.it"
TUSCANY TRANSFER TOUR,Italy,info@tuscany-tours-excursions.com
BODEGAS Y VIÑEDOS ILURCE,Spain,info@ilurce.com
"LMH-WINES, LDA",Portugal,info@lmh-wines.com
FIRST GOOD WINE,Slovenia,hello@firstgoodwine.com
CARETTO LORIS LIVIO AZIENDA AGRICOLA,Italy,info@vinidelcanavese.it
WEINGUT PÖCKL,Austria,info@poeckl.at
GREEN RESEARCH S.L.,Spain,"info@agrochimicasnc.it, info@hellafarm.gr, info@green-smile.com, ttag@palnet.com, agro@bioinsumos.net, sac@globalcrops.com.br, agriplus2001@yahoo.fr, thomas.prast@kalosgate.com, miguelmoreno@3msl.com, manoloparri@hotmail.com, bioinsumos200@gmail.com"
GLOBAL WINERY,United Kingdom,rmoyse@westons-cider.com
SEÑORÍO DE RUBIÓS,Spain,info@srubios.com
BODEGAS OLMAZA,Spain,info@bodegasolmaza.com
ARTEBOTTI SRLS,Italy,info@artebotti.com
VIÑEDOS Y BODEGAS LYNG,Spain,bodegaslyng@gmail.com
BODEGAS NESTARES EGUIZABAL,Spain,bodegas@nestareseguizabal.com
WITH US WINE,Belgium,karine@withus-wine.com
VITISERVE GMBH,Germany,info@reben.de
SOCIETA' AGRICOLA VILLA LOGGIO S.R.L.,Italy,info@importeria.com
TORTELLA VERONA NCC,Italy,info@veronancc.it
Lantos Muanyagfeldolgozo Kft.,Hungary,info@lantoscapsule.hu
BROADLAND WINERIES LIMITED,United Kingdom,"sales-support@broadlanddrinks.com, sales@broadlanddrinks.com"
ALTAVINS VITICULTORS,Spain,altavins@altavins.com
ABBADIA ARDENGA IL POGGIO,Italy,info@abbadiardengapoggio.it
BODEGAS ATREVINO,Spain,info@bodegasatrevino.com
CANTINE VITEVIS,Italy,vitevis@legalmail.it
CANTINA GIAMPIETRO PUGGIONI SRL,Italy,cantinapuggioni@hotmail.it
DIMASUR DE EQUIPAMIENTO S.L.,United Kingdom,info@dimasur.es
SABINI & ASSOCIATES REAL ESTATE,Italy,info@sabiniassociates.com
ECOVIN BUNDESVERBAND ÖKOLOGISCHER WEINBAU E. V.,Germany,info@ecovin.de
TIPOGRAFIA MADONNA DELLA QUERCE,Italy,info@tipoquerce.it
INDUSTRIE-TECHNIK KIENZLER GMBH & CO. KG,Germany,info@itk-kienzler.de
